Date,ANZ.AX,BHP.AX,WTC.AX
2019/5/23,24.270327,30.127083,23.185078
2019/5/24,24.183462,30.232031,22.518381
2019/5/27,24.16609,30.627586,23.105471
2019/5/28,24.322447,31.160381,24.37916
2019/5/29,24.357195,30.96664,24.568224
2019/5/30,24.331135,30.433846,24.349308
2019/5/31,24.218206,30.482279,24.239851
2019/6/3,23.922865,29.71538,23.78212
2019/6/4,24.113968,30.119013,23.732363
2019/6/5,24.331135,30.304686,24.727434
2019/6/6,24.461433,29.909122,26.14043
2019/6/7,24.643848,30.546865,26.787222
2019/6/11,24.887075,31.241112,27.384264
2019/6/12,24.548298,32.088737,27.443968
2019/6/13,24.695969,31.935358,26.568308
2019/6/14,24.51355,32.53273,26.986238
2019/6/17,24.565672,32.419712,27.573324
2019/6/18,24.565672,32.419712,27.374313
2019/6/19,24.904448,33.081669,28.578344
2019/6/20,25.086864,32.976727,29.324648
2019/6/21,24.791523,33.122028,28.299726
2019/6/24,24.913136,33.25927,28.269875
2019/6/25,24.713345,33.291561,28.001205
2019/6/26,24.452744,33.226974,28.210171
2019/6/27,24.652536,33.864716,27.822092
2019/6/28,24.504864,33.226974,27.573324
2019/7/1,24.565672,33.646759,28.85696
2019/7/2,24.209522,33.93737,28.717657
2019/7/3,24.140028,33.969662,28.85696
2019/7/4,24.461433,33.783993,28.170366
2019/7/5,24.452744,33.331921,28.259922
2019/7/8,24.218206,32.742622,28.100712
2019/7/9,24.053164,33.122028,28.130566
2019/7/10,23.914179,33.065525,29.264942
2019/7/11,23.731758,33.283485,30.299814
2019/7/12,23.688328,33.073593,31.03616
2019/7/15,23.453789,33.097816,30.150553
2019/7/16,23.445101,33.226974,29.643066
2019/7/17,23.618834,33.69519,29.623167
2019/7/18,23.558027,33.194687,29.782375
2019/7/19,23.783876,33.146252,29.80228
2019/7/22,23.775194,33.372284,30.598333
2019/7/23,23.827311,33.566032,30.986408
2019/7/24,24.018415,33.364216,31.752611
2019/7/25,24.287699,32.766838,32.558617
2019/7/26,24.131344,32.976727,32.508865
2019/7/29,24.192148,32.774906,33.085999
2019/7/30,24.322447,32.960583,31.842167
2019/7/31,24.244267,32.904072,31.782463
2019/8/1,24.331135,32.500439,32.120789
